Age,Gender:,Marital,Sleep,Screen,Activity,Entertainment,Smoking,Drinks,Disease,Study,S/W_load,Projects,Satisfaction,Friends,Income,Happiness,PSS_Q1,PSS_Q2,PSS_Q3,PSS_Q4,PSS_Q5,PSS_Q6,PSS_Q7,PSS_Q8,PSS_Q9,PSS_Q10,PSS_Q11,PSS_Q12,PSS_Q13,PSS_Q14
2,1,1,1,1,2,0,2,1,0,2,2.5,2,2,0,0,0,1,2,2,3,2,4,2,0,0,2,2,3,3,1
2,2,1,0,3,1,1,0,0,3,0,3,2,2,0,0,0,2,0,2,0,1,3,3,2,2,2,2,2,2,3
2,2,2,2,1,3,0,0,0,0,0,2.5,2,1,2,2,1,3,3,4,3,3,3,2,3,3,3,2,2,3,2
2,2,2,2,1.5,3,2.5,0,0,0,2,2,2,2,2,2.5,2,2,3,0,3,3,3,3,3,2,2,2,4,2,2
2,1,2,1,1.5,2,2,0,0,0,0,1.5,2,2,1,2,1,2,2,2,2,4,4,2,3,3,4,4,4,2,2
2,2,2,3,3,3,0,0,0,0,0,2.5,2,1,2,2,1,3,2,2,0,2,2,3,2,3,3,4,2,3,0
2,2,2,1,1,0,0,0,0,0,0,2,2,2,2,2,1,2,0,2,2,3,3,0,0,3,3,3,0,3,0
2,2,2,1,1,0,0,0,0,3,0,2,2,3,2,2,0,2,2,2,4,3,4,3,0,4,3,2,4,2,0
2,1,2,2,3,3,3,2,1,0,0,3,2,3,3,2,2,0,3,0,2,3,3,2,2,1,3,1,2,2,2
2,1,2,0,1.5,3,2.5,0,0,0,0,1.5,2,2,0,2,1,2,2,2,3,2,2,2,2,2,2,2,2,3,3
2,1,2,1,3,3,1,2,1,0,0,2.5,2,1,2,0,2,1,2,1,2,1,1,1,3,0,0,0,2,0,2
2,2,2,1,2,3,2.5,0,0,0,1,2,2,2.5,2,2,1,4,2,4,3,2,2,2,0,3,0,3,4,3,3
2,2,2,3,3,3,3,0,0,3,1,2,2,2.5,3,2,3,4,4,4,4,4,1,1,1,1,0,4,4,0,4
2,2,2,2,2,2,0,0,0,3,2,2.5,2,1,1,1,0,0,4,1,2,1,1,4,4,1,1,0,4,2,4
2,1,2,3,3,3,3,2,1,3,3,3,2,1,2,2,3,4,1,2,1,2,2,4,2,1,2,4,4,2,4
2,1,2,0,3,3,2.5,2,0,0,0,1,2,2,0,0,2,2,4,2,0,3,4,1,2,4,0,4,4,2,2
2,2,2,1,2,2,2.5,0,0,0,0,2.5,2,2,2,2.5,2,2,2,2,3,2,2,2,3,2,3,2,3,2,2
2,2,1,2,1.5,3,2.5,0,0,3,0,2.5,0,2,2,2,2,3,3,4,2,3,1,1,4,2,2,3,4,2,4
2,1,2,0,1.5,2,3,2,0,0,0,1.5,0,2.5,0,3,2,2,4,2,0,0,2,0,0,2,3,0,3,2,1
2,2,2,1,3,1,3,0,0,0,0,1.5,2,3,2,2.5,2.5,4,4,4,1,0,0,0,4,4,0,4,3,0,3
2,1,2,1,3,3,0,0,0,0,0,2.5,2,1,1,2,2.5,2,3,2,2,1,2,0,3,1,3,3,2,2,4
2,1,2,2,3,0,0,2,1,0,3,1,2,3,0,0,0,2,2,3,2,2,1,2,4,1,4,1,4,3,2
2,1,1,2,1,3,3,1,0,0,3,2.5,0,1,1,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,2,1.5,3,3,0,0,0,0,2.5,0,2,1,2,2,2,3,2,2,2,2,0,2,2,2,2,3,0,2
2,1,2,1,1.5,3,2.5,0,0,0,2,2,2,2,0,2.5,2,2,2,2,2,0,2,2,2,2,1,2,2,3,3
2,1,2,2,1,3,3,1,0,0,1,2,0,1,2,3,2,2,2,3,2,3,2,3,3,0,2,0,2,3,3
2,1,2,1,1.5,2,2.5,0,0,0,0,1.5,2,1,2,2.5,2,1,2,3,2,1,2,2,2,2,3,2,2,2,1
2,1,2,1,1.5,2,2.5,0,0,0,1,2,2,2,2,2,2,3,1,4,2,2,2,2,2,4,2,2,2,4,2
2,1,2,1,1.5,2,2,1,1,0,1,2,2,1,1,2.5,2,2,2,3,2,2,4,2,1,4,2,2,2,4,4
2,1,2,3,1.5,3,3,0,0,0,0,1,0,0,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,2,0,2,0,0,3,2,0,1,2,3,2,2,0,2,2,2,3,2,0,2,3,1,1,3,2
2,2,2,2,1.5,2,3,0,0,0,1,2,2,2,2,2,1,2,0,3,4,3,4,2,1,3,2,1,2,3,1
2,1,2,2,1.5,3,2,0,0,0,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,3,3,2,1
2,2,1,1,3,0,0,0,0,0,0,2,2,2,0,0,0,2,3,3,3,3,2,2,2,3,2,1,2,1,2
2,1,2,0,1.5,2,3,0,0,0,3,2.5,2,1,0,0,2,2,3,3,3,3,2,3,3,2,2,2,3,2,3
2,1,2,2,1,2,3,0,0,0,2,2,2,1,1,2,2,2,1,2,4,3,3,3,1,2,2,1,3,3,2
2,2,2,2,1.5,3,2.5,0,0,0,1,2.5,2,2.5,2,2.5,2.5,4,4,4,4,2,2,2,3,1,2,4,4,2,3
2,2,2,3,1,2,3,0,0,0,3,3,2,2,2,1,2,2,2,3,2,2,4,3,3,2,3,4,3,2,3
2,1,1,0,2,3,2.5,0,0,0,0,2,0,2,3,1,1,2,0,2,0,0,0,0,0,0,0,2,0,0,0
2,1,2,0,2,2,2.5,0,0,0,1,2.5,2,2,0,2.5,2,2,3,3,2,2,2,2,3,2,3,2,3,2,3
2,1,2,1,2,0,2.5,0,0,0,1,2.5,2,1,0,2.5,0,2,3,1,3,2,3,3,2,3,1,1,2,3,3
2,1,2,2,1.5,2,2,0,0,0,2,2.5,0,2,0,1,2,1,2,2,1,1,0,1,2,2,3,3,2,2,2
2,1,2,0,2,3,3,0,1,0,3,2.5,2,2,3,3,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0
2,1,2,1,3,3,2,0,0,3,0,2,2,2,0,2,2,2,0,2,3,3,2,1,2,1,2,1,4,2,0
2,1,1,2,1.5,1,0,0,0,0,3,2,0,2,0,1,1,2,1,2,2,3,3,3,1,3,3,0,2,3,1
2,1,2,2,3,2,2.5,0,0,0,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,1,2,1,1.5,3,2.5,0,0,0,2,1.5,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
2,1,2,0,2,1,0,0,0,0,0,2,0,1,1,2.5,2,2,2,1,4,1,3,3,1,3,3,1,2,1,3
2,1,2,1,1.5,2,3,0,0,0,1,1.5,2,1,2,2,2,4,0,0,4,2,4,2,2,2,0,2,2,0,0
2,2,2,2,1.5,3,3,0,0,0,3,3,2,2,2,2.5,1,4,4,4,4,4,2,1,4,3,2,0,4,1,4
2,1,2,2,3,2,2.5,0,0,0,2,2,2,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,1,2,1,1.5,2,2.5,0,0,0,2,2.5,0,2,0,0,2,2,2,3,3,2,3,3,0,2,2,2,2,1,3
2,1,2,3,1.5,0,2.5,0,0,0,3,3,2,1,2,3,3,4,2,4,3,4,2,4,4,3,1,2,4,3,4
2,1,2,2,1.5,2,2.5,0,0,0,1,2,2,3,2,3,2,2,2,2,2,2,2,2,2,0,0,0,1,1,2
2,1,2,2,1.5,3,2.5,2,0,0,1,1.5,2,0,0,0,1,1,1,1,3,3,3,2,0,3,3,0,0,3,0
2,1,2,0,3,3,3,0,0,0,0,1,2,2.5,0,3,1,3,2,3,0,1,2,0,3,0,0,2,3,0,3
2,1,2,0,1.5,3,2.5,2,0,0,0,2.5,2,2,2,0,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
2,1,2,1,1.5,2,2.5,0,0,0,1,2.5,2,2,1,0,2,3,3,3,2,2,2,2,3,3,3,2,4,2,3
2,2,2,1,1,1,0,0,0,0,1,2,2,2,1,0,2.5,2,2,4,4,3,4,2,1,3,3,4,2,3,3
2,1,2,1,1.5,2,2.5,2,1,0,3,2.5,0,2,2,2.5,2.5,1,1,0,2,1,0,1,3,1,1,3,1,1,2
2,1,2,1,1.5,3,0,0,0,0,2,2,2,1,2,2.5,2,2,3,3,2,2,3,2,3,3,4,1,4,0,3
2,2,1,0,2,3,0,0,0,0,1,1.5,0,2,2,3,2,3,2,1,2,3,3,2,2,2,3,2,3,2,3
2,1,2,0,1,3,0,0,0,0,3,2.5,0,1,2,2.5,2,2,2,2,2,2,2,0,3,2,3,2,4,2,2
2,1,2,1,1.5,2,0,0,0,0,1,2,0,2,2,2.5,2,2,3,2,3,3,1,3,2,2,3,2,3,1,2
2,1,2,2,1,2,3,0,0,0,3,3,2,1,3,2,2,2,1,2,2,3,2,3,2,1,3,1,4,3,3
2,1,2,1,1.5,2,2.5,0,0,0,0,1,2,2,1,2.5,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2
2,1,2,2,2,2,0,2,0,0,0,2,2,2,0,3,0,2,2,2,2,2,2,2,2,3,2,2,2,2,2
2,1,1,0,3,3,2.5,2,1,0,3,2.5,0,2.5,2,2.5,2,3,3,4,3,2,0,2,3,2,0,3,0,0,0
2,1,2,1,2,2,0,2,0,0,0,2,2,3,3,2,2.5,3,4,2,2,2,3,1,3,3,4,3,3,2,3
2,1,2,2,3,3,3,2,0,0,3,2,0,3,2,2.5,2,2,2,3,3,2,3,1,1,3,2,1,1,2,2
2,2,2,2,1,3,3,0,0,0,3,3,0,2,2,3,2,1,3,2,3,2,3,3,4,1,1,2,4,3,2
2,1,2,0,1,3,2.5,2,0,0,3,2,2,1,2,2,2,2,2,2,2,3,4,2,2,2,3,2,3,2,3
2,1,2,1,2,2,2,2,0,0,0,1.5,0,2.5,1,2.5,3,1,2,2,1,1,0,3,1,1,2,2,0,1,1
2,1,2,1,1.5,2,3,1,0,0,3,3,0,2,2,3,3,0,2,0,2,0,2,2,1,2,2,2,2,2,2
2,1,2,2,1.5,3,2.5,0,0,3,2,2,2,2,2,2,2.5,1,1,2,2,2,1,0,2,2,1,1,3,2,2
2,2,2,0,2,3,0,0,1,0,1,3,2,1,0,2,1,3,0,2,3,2,2,2,0,2,3,0,4,2,2
2,2,2,1,3,2,3,0,0,0,1,2.5,2,1,0,2.5,2,3,2,3,2,2,2,2,3,0,2,2,2,0,4
2,2,2,0,1,2,2.5,0,1,0,1,1,2,1,0,2,3,0,0,2,3,3,3,3,0,3,3,0,4,4,0
2,1,2,0,1.5,3,2.5,2,0,0,3,2,0,2,2,3,2,1,0,2,1,0,2,0,3,0,3,4,4,1,1
2,1,2,1,2,1,2.5,0,0,0,1,2,0,2.5,1,3,2,2,1,2,3,3,4,2,1,3,2,1,2,2,2
2,1,2,2,1,0,2.5,2,0,0,0,3,0,2,3,2,2,0,2,1,3,3,3,2,1,2,1,0,4,3,1
2,1,2,2,1.5,3,0,0,0,0,3,3,2,2,3,2.5,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
2,1,2,1,1.5,3,2.5,0,0,0,1,2,2,2.5,1,3,3,2,3,3,2,1,2,1,2,1,1,2,3,2,2
2,2,2,3,1,1,3,0,0,0,2,2,2,2.5,2,2,3,4,4,4,4,4,0,0,4,1,2,3,2,2,3
2,1,2,1,2,2,2.5,0,0,0,0,2,0,2.5,1,1,1,2,2,2,3,3,3,2,2,3,1,2,4,3,2
2,1,1,1,1.5,3,2.5,0,0,3,1,2,2,2,1,2.5,2.5,3,4,3,3,2,2,2,2,3,2,2,2,2,2
2,1,2,1,2,1,0,0,0,0,0,2.5,2,2.5,0,2,2,2,2,2,2,2,2,2,2,0,2,3,2,0,3
2,2,1,1,1.5,2,2.5,0,0,0,0,2,0,2,0,3,3,4,3,3,3,2,2,0,0,3,2,3,3,2,2
2,1,2,1,2,3,3,0,0,0,0,2,2,2,0,3,2,3,2,3,4,2,2,3,3,1,3,2,3,3,3
2,1,2,2,1.5,3,0,0,0,3,0,1,2,2,0,2.5,2,2,3,3,2,0,3,0,2,3,0,2,3,0,3
2,1,2,2,1.5,3,2.5,2,1,3,2,2,2,1,0,2.5,2,2,2,1,1,1,1,2,1,1,1,2,3,2,1
2,1,1,1,1,2,3,2,1,0,0,2,0,2.5,3,2.5,3,4,4,3,3,2,4,0,2,0,1,4,4,0,1
2,2,3,1,1,2,2.5,0,0,0,3,2,2,1,2,2.5,2.5,4,4,2,2,2,2,2,3,2,2,4,4,2,1
2,1,2,1,1.5,3,2.5,2,1,0,2,1.5,0,2,2,2.5,2,2,2,2,1,2,1,0,3,2,2,0,2,3,3
2,1,2,1,3,2,2,2,0,0,0,1.5,2,2,1,2.5,2,2,3,4,1,2,4,1,4,3,2,1,3,2,2
2,1,1,1,1,0,2.5,1,0,0,3,3,2,2,2,0,2.5,3,3,2,3,2,3,2,3,3,2,2,4,3,2
2,1,2,1,1,2,2.5,2,0,3,3,3,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,3,3,0,0,0,3,0,3,2,3,2,2.5,2,2,3,3,3,3,3,3,2,1,2,2,3,2,1
2,1,2,1,2,2,3,0,0,3,0,1,0,2,1,2.5,2.5,3,3,3,2,2,2,0,3,2,0,2,4,0,2
2,1,2,1,3,1,0,0,0,0,2,2,0,1,0,2.5,2,3,2,3,3,3,3,3,2,3,3,2,3,3,2
2,1,2,0,3,3,2.5,0,0,0,0,2.5,0,2,1,1,2.5,2,2,3,2,2,3,1,3,1,1,3,3,1,3
2,1,2,0,3,3,0,2,0,0,0,1,0,2.5,3,3,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,1.5,3,2,0,0,0,2,1,0,2,1,2,2,2,2,2,1,2,0,1,2,3,3,2,1,2,3
2,1,1,2,3,3,3,0,0,3,2,3,2,2.5,2,3,3,3,3,3,3,1,2,0,3,0,2,3,4,1,3
2,1,1,2,3,3,2.5,2,1,0,3,2,0,2,0,2.5,2,2,3,3,4,4,4,1,2,3,2,2,2,2,4
2,1,1,0,2,3,2.5,0,1,3,3,2.5,0,3,1,2,2.5,3,4,4,4,2,2,1,2,1,3,3,4,4,3
2,1,1,2,1.5,2,0,0,0,0,3,2.5,0,2,2,2,2,2,1,3,3,3,3,1,3,2,3,0,3,3,2
2,2,1,1,1,3,0,0,0,0,0,1.5,0,2,2,2,2,2,2,3,2,3,3,2,0,3,2,3,2,3,1
2,2,2,2,1.5,3,2.5,0,0,0,1,2,2,2,2,1,2,0,1,1,2,3,2,3,1,3,2,1,1,2,2
2,1,2,0,3,3,0,2,0,0,0,1.5,2,2.5,0,3,0,2,2,0,2,1,2,1,2,0,2,2,4,0,1
2,1,2,1,3,3,0,2,0,3,0,2,0,1,1,2.5,2.5,3,2,3,1,2,3,2,0,3,3,2,4,2,2
2,2,2,1,1.5,2,0,0,0,0,1,2.5,0,1,3,2.5,2,2,3,3,0,2,2,2,3,0,1,3,3,2,2
2,1,1,0,1.5,2,0,1,0,0,1,1,0,1,0,2.5,2,2,2,1,4,4,3,3,1,3,3,1,2,3,1
2,1,2,0,1,1,1,1,1,3,1,1.5,0,1,2,2,2,2,0,4,0,2,1,3,3,4,1,1,2,0,3
2,1,2,2,2,1,1,1,0,3,0,2.5,0,2,3,2.5,1,1,1,2,3,4,3,1,2,1,1,3,2,0,2
2,2,2,0,2,2,2.5,0,0,0,1,1,0,2,3,3,3,1,2,2,3,3,3,3,4,3,3,4,3,2,1
2,1,2,1,1,1,3,0,0,0,0,2,0,2,2,2,2,1,2,2,3,3,3,3,1,3,2,2,4,2,1
2,1,2,1,3,3,3,0,0,0,2,3,2,2.5,2,3,2,3,2,3,2,1,2,1,2,2,1,3,1,2,1
2,1,2,1,1.5,2,2.5,2,1,0,2,3,0,2,2,1,2,2,2,3,2,2,3,2,2,2,2,1,3,3,1
2,1,2,1,2,3,3,0,0,0,2,2,2,1,1,2.5,1,0,2,2,2,1,2,2,2,2,2,2,1,2,1
2,1,1,2,3,2,2,0,0,0,3,2,2,2,0,3,1,2,0,2,2,2,2,3,0,1,0,2,3,0,2
2,1,2,1,3,3,0,2,0,0,0,2,2,1,2,3,2,2,2,2,3,3,3,2,2,3,3,3,3,3,2
2,1,2,2,1,3,2.5,0,0,0,0,2,0,2,2,2.5,2,4,4,3,3,3,3,3,4,4,4,4,4,2,2
2,1,2,1,3,3,2.5,1,0,0,1,2,2,2,0,2,2,3,3,3,3,2,4,1,3,3,2,2,2,2,2
2,1,2,2,2,3,2.5,0,0,0,0,2,2,2.5,2,2,2,2,1,2,2,2,3,1,2,2,2,3,2,1,2
2,2,2,1,2,1,3,0,0,0,2,3,2,2,3,2.5,2,3,3,4,2,2,2,4,0,2,2,0,4,2,0
1,2,3,0,2,2,1,0,0,0,3,2,2,2,1,2.5,2,2,2,2,2,2,3,2,3,2,2,0,3,0,1
2,2,2,1,3,2,2.5,0,0,0,0,1.5,2,1,2,2.5,2,1,0,0,4,1,3,2,1,3,2,2,2,3,1
2,1,2,2,1,3,2.5,0,0,0,0,1.5,2,1,1,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,2
2,2,2,1,1.5,3,2.5,0,1,3,3,3,0,2,1,2.5,3,3,4,4,2,2,0,3,4,0,0,3,2,0,4
2,1,2,3,1.5,3,3,2,0,3,3,1,2,2,2,2.5,3,2,3,3,2,2,2,0,3,0,0,3,3,0,3
2,1,1,2,1.5,0,2.5,0,0,0,0,1.5,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,2,1.5,2,2.5,0,0,0,3,2,2,0,2,2.5,2,2,2,4,4,3,0,4,4,2,3,3,3,0,2
2,1,2,2,3,3,3,2,0,0,0,3,0,2.5,0,2.5,3,2,3,3,2,3,4,2,2,4,1,2,3,1,3
2,1,1,0,1.5,3,2.5,0,0,0,3,2.5,2,1,2,2.5,2,0,2,3,3,3,3,2,0,3,3,2,3,0,0
2,1,2,1,1,2,3,0,0,0,0,1.5,0,2.5,2,2.5,2,2,0,0,2,3,4,0,2,1,0,0,0,2,0
2,1,2,3,3,2,0,0,0,0,0,3,2,2,2,2.5,3,4,4,4,0,0,0,0,4,0,0,0,0,0,4
2,1,2,1,3,3,2.5,0,0,0,0,2,0,0,0,3,1,2,3,2,4,0,2,2,0,3,0,0,2,1,0
2,2,1,2,1.5,3,3,1,1,3,0,2,0,1,0,1,2,2,4,0,3,3,2,2,0,4,0,2,3,3,4
2,2,1,0,2,3,0,0,0,0,0,1,0,0,3,3,0,2,2,2,2,3,3,3,3,3,3,3,2,3,2
2,2,1,0,2,3,0,0,0,0,0,1,0,1,3,0,3,4,1,1,2,2,2,2,2,2,2,2,3,3,3
2,2,1,1,3,3,3,0,0,0,0,1,0,1,2,3,3,3,2,2,2,0,3,0,0,2,2,0,2,2,0
2,1,2,3,2,2,0,2,0,0,0,1,0,1,0,2,3,4,4,4,3,2,3,2,3,3,3,3,3,2,3
2,1,2,2,1.5,2,0,2,1,0,2,2,2,1,0,2.5,2,2,2,3,3,2,3,4,2,1,3,2,2,3,4
2,1,1,2,1.5,0,2.5,0,0,0,2,2,0,1,0,2.5,2,2,3,2,2,3,2,3,0,2,3,0,4,3,2
2,1,1,2,1.5,0,2.5,2,0,0,3,2.5,0,1,2,2,2,2,2,2,1,2,2,2,2,3,2,0,0,2,1
2,1,2,1,1.5,3,0,0,0,3,3,2,2,1,2,2,2,2,0,0,3,3,3,3,0,3,3,0,0,2,1
2,1,1,1,1.5,0,0,0,0,0,0,1,0,1,0,2,2,3,1,3,0,2,3,4,0,3,2,1,0,3,1
2,1,2,1,1.5,2,2.5,0,0,0,1,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,1,1,1.5,3,0,0,0,0,3,2,0,1,3,2.5,1,2,0,2,3,2,3,0,2,2,2,0,3,2,0
2,1,1,2,1.5,2,2.5,0,0,0,1,2,0,1,0,2.5,2,2,3,3,3,2,2,2,3,3,2,3,2,2,2
2,2,2,0,1.5,3,2.5,0,0,0,0,2,2,1,2,2.5,2,0,2,0,0,0,0,0,0,0,0,3,3,0,0
2,1,1,1,1.5,3,2.5,0,0,0,3,1,0,2.5,2,2.5,2,2,0,0,3,3,0,0,0,2,3,0,2,3,0
2,1,2,2,1,2,2.5,0,0,0,2,1.5,0,2,0,2.5,2,2,3,3,2,3,2,2,3,2,3,3,2,2,2
2,1,1,2,1.5,1,2.5,0,0,0,0,1.5,0,2,0,2.5,2,2,2,3,3,3,2,2,1,1,2,3,3,3,2
2,1,2,2,1.5,2,2.5,0,0,0,0,2,0,1,0,2.5,2,2,2,3,3,3,2,2,3,3,2,3,2,3,2
2,1,2,1,1,2,0,0,0,0,0,1.5,2,2,3,3,3,1,0,2,1,2,0,0,1,1,2,1,3,3,1
2,1,1,2,1.5,2,2.5,0,0,0,2,1.5,0,1,1,2.5,2,3,3,2,2,2,2,3,3,2,3,2,2,3,3
2,1,1,2,2,1,0,0,0,0,2,2,0,1,0,2.5,2,2,2,2,3,3,3,3,3,2,3,3,3,3,2
2,1,2,2,1.5,2,2.5,0,0,0,2,2,0,2,0,2.5,1,2,2,3,3,2,1,3,2,1,2,3,3,3,3
2,1,2,2,1.5,2,0,0,0,0,1,1,0,1,1,2.5,2,3,2,2,2,3,3,3,1,3,1,3,3,3,2
2,1,2,2,1.5,2,0,0,0,0,2,2,2,1,0,2.5,2,2,3,3,2,2,2,3,3,2,3,2,2,3,3
2,1,2,2,1.5,2,2.5,0,0,0,0,2,0,1,0,2.5,2,3,3,2,2,3,3,2,3,3,1,2,3,2,2
2,1,2,2,1.5,2,2.5,0,0,0,1,1.5,0,2,0,2.5,2,2,1,3,3,2,2,2,3,3,1,2,3,2,3
2,1,2,2,1.5,2,0,0,0,0,1,2,0,1,1,2.5,2,3,2,2,2,3,2,2,3,3,3,1,2,3,3
2,1,2,2,3,3,2.5,0,1,0,0,3,0,0,3,2.5,2,4,3,4,4,2,3,2,3,0,0,3,3,3,3
2,2,2,3,2,3,3,0,1,3,3,3,2,3,3,2,3,4,4,4,3,0,0,4,4,0,0,4,3,0,4
2,2,1,2,2,2,2.5,0,1,0,1,2,0,2,2,2.5,2,2,1,3,2,1,2,0,2,0,3,2,3,1,2
2,1,2,2,1.5,0,2.5,0,0,0,1,2.5,2,1,2,2.5,2,3,1,0,2,4,2,2,0,4,3,2,2,4,3
2,1,2,1,2,3,3,2,0,0,0,1.5,0,1,1,2,2,2,1,3,2,3,0,1,2,2,3,2,1,1,2
2,1,2,2,1.5,2,2.5,0,0,0,1,2,0,2,2,2.5,2,2,2,3,2,3,2,2,3,2,0,0,2,2,2
2,1,2,3,2,2,3,0,0,0,1,2,0,2,2,2.5,2,1,0,2,3,2,1,2,2,3,2,1,2,2,1
2,1,2,1,1.5,3,2.5,0,0,0,0,1.5,0,1,0,2.5,2,0,0,0,1,2,2,4,3,3,3,2,2,2,2
